service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Daily-1,1,1,1,1,1,1,1,20230223,20230411
Daily-2,1,1,1,1,1,1,1,20230223,20230411
Daily-3,1,1,1,1,1,1,1,20230223,20230411
ExSat-1,1,1,1,1,1,0,1,20230223,20230411
ExSat-2,1,1,1,1,1,0,1,20230223,20230411
ExSat-3,1,1,1,1,1,0,1,20230223,20230411
ExSun-1,1,1,1,1,1,1,0,20230223,20230411
ExSun-2,1,1,1,1,1,1,0,20230223,20230411
ExThu-1,1,1,1,0,1,1,1,20230223,20230411
FriSat-1,0,0,0,0,1,1,0,20230223,20230411
FriSat-2,0,0,0,0,1,1,0,20230223,20230411
Friday-1,0,0,0,0,1,0,0,20230223,20230411
Friday-2,0,0,0,0,1,0,0,20230223,20230411
Friday-3,0,0,0,0,1,0,0,20230223,20230411
Friday-4,0,0,0,0,1,0,0,20230223,20230301
Friday-5,0,0,0,0,1,0,0,20230223,20230411
Monday-1,1,0,0,0,0,0,0,20230223,20230411
Other-1,0,0,0,0,0,0,0,20230302,20230411
Other-10,0,0,0,0,0,0,0,20230223,20230411
Other-11,0,0,0,0,0,0,0,20230223,20230411
Other-12,0,0,0,0,0,0,0,20230223,20230411
Other-13,0,0,0,0,0,0,0,20230223,20230411
Other-14,0,0,0,0,0,0,0,20230223,20230411
Other-15,0,0,0,0,0,0,0,20230223,20230411
Other-16,0,0,0,0,0,0,0,20230223,20230411
Other-17,0,0,0,0,0,0,0,20230223,20230411
Other-18,0,0,0,0,0,0,0,20230223,20230411
Other-19,0,0,0,0,0,0,0,20230223,20230411
Other-2,0,0,0,0,0,0,0,20230223,20230411
Other-20,0,0,0,0,0,0,0,20230223,20230411
Other-21,0,0,0,0,0,0,0,20230223,20230411
Other-22,0,0,0,0,0,0,0,20230223,20230411
Other-23,0,0,0,0,0,0,0,20230223,20230411
Other-24,0,0,0,0,0,0,0,20230303,20230411
Other-25,0,0,0,0,0,0,0,20230303,20230411
Other-26,0,0,0,0,0,0,0,20230303,20230411
Other-3,0,0,0,0,0,0,0,20230302,20230411
Other-4,0,0,0,0,0,0,0,20230302,20230411
Other-5,0,0,0,0,0,0,0,20230223,20230411
Other-6,0,0,0,0,0,0,0,20230223,20230411
Other-7,0,0,0,0,0,0,0,20230223,20230411
Other-8,0,0,0,0,0,0,0,20230223,20230411
Other-9,0,0,0,0,0,0,0,20230223,20230411
Saturday-1,0,0,0,0,0,1,0,20230223,20230411
Saturday-2,0,0,0,0,0,1,0,20230223,20230411
Saturday-3,0,0,0,0,0,1,0,20230223,20230411
Sunday-1,0,0,0,0,0,0,1,20230223,20230411
Sunday-10,0,0,0,0,0,0,1,20230223,20230411
Sunday-11,0,0,0,0,0,0,1,20230223,20230411
Sunday-2,0,0,0,0,0,0,1,20230223,20230411
Sunday-3,0,0,0,0,0,0,1,20230223,20230411
Sunday-4,0,0,0,0,0,0,1,20230223,20230411
Sunday-5,0,0,0,0,0,0,1,20230223,20230411
Sunday-6,0,0,0,0,0,0,1,20230223,20230411
Sunday-7,0,0,0,0,0,0,1,20230223,20230411
Sunday-8,0,0,0,0,0,0,1,20230223,20230301
Sunday-9,0,0,0,0,0,0,1,20230223,20230411
Thursday-1,0,0,0,1,0,0,0,20230223,20230411
Tuesday-1,0,1,0,0,0,0,0,20230223,20230411
Tuesday-2,0,1,0,0,0,0,0,20230223,20230411
Wednesday-1,0,0,1,0,0,0,0,20230223,20230411
Wednesday-2,0,0,1,0,0,0,0,20230223,20230411
Wednesday-3,0,0,1,0,0,0,0,20230223,20230301
Weekday-1,1,1,1,1,1,0,0,20230223,20230411
Weekday-2,1,1,1,1,1,0,0,20230223,20230411
Weekday-3,1,1,1,1,1,0,0,20230223,20230411
Weekday-4,1,1,1,1,1,0,0,20230223,20230411
Weekday-5,1,1,1,1,1,0,0,20230223,20230411
Weekday-6,1,1,1,1,1,0,0,20230223,20230411
Weekday-7,1,1,1,1,1,0,0,20230223,20230411
Weekday-8,1,1,1,1,1,0,0,20230223,20230411
Weekend-1,0,0,0,0,0,1,1,20230223,20230411
Weekend-2,0,0,0,0,0,1,1,20230223,20230411
Weekend-3,0,0,0,0,0,1,1,20230223,20230411
Weekend-4,0,0,0,0,0,1,1,20230223,20230411
Weekend-5,0,0,0,0,0,1,1,20230223,20230411
Weekend-6,0,0,0,0,0,1,1,20230223,20230411
WkExFri-1,1,1,1,1,0,0,0,20230223,20230411
