service_id,date,exception_type
Daily-2,20230401,2
Daily-2,20230402,2
Daily-2,20230403,2
Daily-2,20230404,2
Daily-2,20230405,2
Daily-2,20230406,2
Daily-2,20230407,2
Daily-2,20230408,2
Daily-2,20230409,2
Daily-2,20230410,2
Daily-2,20230411,2
Daily-3,20230223,2
Daily-3,20230224,2
Daily-3,20230225,2
Daily-3,20230226,2
Daily-3,20230227,2
Daily-3,20230228,2
Daily-3,20230301,2
Daily-3,20230302,2
Daily-3,20230303,2
Daily-3,20230304,2
ExSat-2,20230325,1
ExSat-2,20230401,1
ExSat-2,20230408,1
ExSat-3,20230226,2
ExSat-3,20230305,2
ExSat-3,20230312,2
ExSun-1,20230401,2
ExSun-1,20230403,2
ExSun-1,20230404,2
ExSun-1,20230405,2
ExSun-1,20230406,2
ExSun-1,20230407,2
ExSun-1,20230408,2
ExSun-1,20230410,2
ExSun-1,20230411,2
ExSun-2,20230407,2
ExSun-2,20230410,2
ExThu-1,20230323,1
ExThu-1,20230330,1
ExThu-1,20230406,1
ExThu-1,20230224,2
ExThu-1,20230227,2
ExThu-1,20230228,2
ExThu-1,20230301,2
ExThu-1,20230303,2
ExThu-1,20230306,2
ExThu-1,20230307,2
ExThu-1,20230308,2
ExThu-1,20230310,2
ExThu-1,20230313,2
ExThu-1,20230314,2
ExThu-1,20230315,2
ExThu-1,20230317,2
FriSat-1,20230401,2
FriSat-1,20230407,2
FriSat-1,20230408,2
FriSat-2,20230407,2
Friday-1,20230407,2
Friday-2,20230224,2
Friday-2,20230303,2
Friday-2,20230407,2
Friday-3,20230406,1
Friday-3,20230224,2
Friday-3,20230303,2
Friday-3,20230407,2
Friday-5,20230303,2
Friday-5,20230310,2
Friday-5,20230407,2
Monday-1,20230319,1
Monday-1,20230321,1
Monday-1,20230322,1
Monday-1,20230323,1
Monday-1,20230324,1
Monday-1,20230326,1
Monday-1,20230328,1
Monday-1,20230329,1
Monday-1,20230330,1
Monday-1,20230331,1
Monday-1,20230402,1
Monday-1,20230404,1
Monday-1,20230405,1
Monday-1,20230406,1
Monday-1,20230407,1
Monday-1,20230409,1
Monday-1,20230411,1
Monday-1,20230227,2
Monday-1,20230306,2
Monday-1,20230313,2
Other-1,20230303,1
Other-1,20230310,1
Other-10,20230305,1
Other-10,20230407,1
Other-10,20230408,1
Other-10,20230409,1
Other-10,20230410,1
Other-11,20230406,1
Other-12,20230301,1
Other-12,20230303,1
Other-13,20230224,1
Other-13,20230303,1
Other-14,20230303,1
Other-15,20230223,1
Other-15,20230224,1
Other-15,20230225,1
Other-15,20230226,1
Other-15,20230227,1
Other-15,20230228,1
Other-15,20230301,1
Other-15,20230302,1
Other-15,20230303,1
Other-15,20230304,1
Other-16,20230223,1
Other-16,20230224,1
Other-16,20230227,1
Other-16,20230228,1
Other-16,20230301,1
Other-16,20230302,1
Other-16,20230303,1
Other-17,20230225,1
Other-17,20230226,1
Other-17,20230304,1
Other-18,20230403,1
Other-18,20230404,1
Other-18,20230405,1
Other-18,20230406,1
Other-18,20230411,1
Other-19,20230401,1
Other-19,20230408,1
Other-2,20230304,1
Other-2,20230311,1
Other-20,20230402,1
Other-20,20230407,1
Other-20,20230409,1
Other-20,20230410,1
Other-21,20230401,1
Other-21,20230402,1
